wiki_article,start_line,end_line,status,links_added,notes
Actor-System,8,14,complete,5,"Added runtime spine links to kernel lifecycle supervisor communication sequence and workflow pages."
Lifecycle-and-Resources,8,14,complete,5,"Added runtime spine links to kernel actor workflow storage and lifecycle diagram pages."
Workflow-Orchestration,8,14,complete,5,"Added runtime spine links to actor kernel lifecycle scripting and workflow example pages."
Scripting-Engine,30,36,complete,5,"Added runtime spine links to actor workflow storage build system and JVM utility pages."
Storage-and-Persistence,24,30,complete,5,"Added runtime spine links to lifecycle actor workflow memory and shared-memory pages."
System-Architecture-Diagram,6,13,complete,6,"Added diagram navigation links to overview and each runtime layer represented in the diagram."
Kernel-and-Ports,83,88,verified_existing,4,"Existing related-topic block reviewed as part of runtime spine pass."
Memory-and-Reflection,28,34,complete,5,"Added Solace AI links to Supervisor AI reflection memory memory layers confusion correction and mouth tool pages."
Mood-and-Emotional-Model,8,14,complete,5,"Added Solace AI links to Supervisor AI memory time actor confusion correction and mouth tool pages."
Voice-and-Mouth-Tool,24,30,complete,5,"Added Solace AI links to Supervisor AI memory perception multimodal nudging and zoom pages."
Inference-Cube,24,31,complete,6,"Added Solace AI links to shared memory reflection memory pipeline provider and notebook pages."
Perception-Actors,27,33,complete,5,"Added Solace AI links to multimodal nudging mouth tool Supervisor AI memory and shared-memory pages."
Supervisor-AI,29,35,complete,5,"Added Solace AI links to memory confusion correction mouth tool mood and provider/tool pages."
Wiki-Link-Normalization,1,691,complete,19,"Normalized legacy .md wiki link targets, removed stale CONTRIBUTING references, and repaired feature index return links."
Storage-and-Persistence,24,31,complete,1,"Added related-topic link to extracted Storage Checklist page."
Storage-and-Persistence,24,32,complete,1,"Added related-topic link to extracted Storage Thread Safety page."
Solace-Core-Framework-Architecture,361,367,complete,3,"Linked Appendix A to standalone system architecture actor class and actor communication diagram pages."
Project-Status,12,18,complete,3,"Generated extensionless links to Quick Status Project Status Report and Design vs Implementation."
Storage-and-Persistence,24,33,complete,1,"Added related-topic link to extracted Storage Module Architecture page."
Providers-and-MCP-Tools,1,14,complete,4,"Retitled as Provider Specs and linked to MCP/tool format pipeline supervisor and reflection pages."
MCP-and-Tool-Format,310,320,verified_existing,4,"Extracted page retains links to supervisor reflection provider specs and pipeline pages."
Feature-Index,56,60,complete,1,"Pointed mcp-tools index entry to extracted MCP and Tool Format page."
Home,20,22,complete,1,"Added MCP and Tool Format to the Solace AI navigation line."
Solace-AI-Overview,14,14,complete,1,"Added MCP and Tool Format beside Provider Specs in language integration row."
Zoom-Levels,4,13,complete,3,"Added related-topic links to zoom technical spec mouth tool and Supervisor AI pages."
Zoom-Levels,335,337,complete,1,"Corrected Features index return link from Documentation Catalog to Feature Index."
Voice-and-Mouth-Tool,4,13,complete,4,"Added related-topic links to mouth technical spec Supervisor AI multimodal nudging and zoom pages."
Mouth-Tool-Technical-Spec,24,30,verified_existing,5,"Extracted spec retains links to Supervisor AI memory perception multimodal nudging and zoom pages."
Inference-Cube,4,11,complete,4,"Added related-topic links to technical architecture shared memory reflection memory and pipeline pages."
Inference-Cube-Technical-Architecture,24,31,complete,6,"Extracted technical page links to shared memory memory reflection pipeline provider specs and notebook pages."
Inference-Cube-Technical-Architecture,201,201,complete,1,"Corrected architecture sequence link to Storage Thread Safety page."
Mood-and-Emotional-Model,108,113,complete,1,"Updated older executive-emotional sketch reference to extracted Supervisor Emotional Model Integration page."
Supervisor-Emotional-Model-Integration,9,15,verified_existing,5,"Extracted page retains links to Supervisor AI memory time actor confusion corrector and mouth tool pages."
Mood-and-Emotional-Model,4,13,complete,4,"Added related-topic links to mood implementation Supervisor emotional integration Inference Cube and Memory pages."
Mood-Module-Implementation,108,113,verified_existing,4,"Extracted implementation note retains links to memory inference notebook and Supervisor emotional integration pages."
